# Exact reviewed SVG.NET-on-ProGPU expected-exception inventory.
# Format: suite|fixture|exception-type|reason
# Matching is exact by suite/fixture and exception type. New, changed, and resolved
# entries fail the gate so this inventory cannot silently conceal regressions.
resvg|tests/paint-servers/pattern/self-recursive-on-child|SvgFixtureIsolationException|Recursive SVG.NET pattern reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/pattern/self-recursive|SvgFixtureIsolationException|Recursive SVG.NET pattern reference terminates or exceeds the isolated-worker limit
resvg|tests/paint-servers/radialGradient/recursive-xlink-href|SvgFixtureIsolationException|Recursive SVG.NET radial-gradient reference terminates the isolated worker
resvg|tests/paint-servers/radialGradient/self-recursive-xlink-href|SvgFixtureIsolationException|Recursive SVG.NET radial-gradient reference terminates the isolated worker
resvg|tests/paint-servers/radialGradient/zero-r-with-stop-opacity-1|System.Runtime.InteropServices.ExternalException|SVG.NET submits a zero-radius path gradient rejected by GDI+
resvg|tests/paint-servers/radialGradient/zero-r-with-stop-opacity-2|System.Runtime.InteropServices.ExternalException|SVG.NET submits a zero-radius path gradient rejected by GDI+
resvg|tests/paint-servers/radialGradient/zero-r|System.Runtime.InteropServices.ExternalException|SVG.NET submits a zero-radius path gradient rejected by GDI+
resvg|tests/paint-servers/stop/missing-offset-2|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
resvg|tests/paint-servers/stop/missing-offset-4|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
resvg|tests/paint-servers/stop/missing-offset-7|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
resvg|tests/paint-servers/stop/stop-color-with-currentColor-4|System.InvalidOperationException|SVG.NET rejects an invalid currentColor gradient stop paint server
resvg|tests/paint-servers/stop/stop-with-smaller-offset|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
resvg|tests/paint-servers/stop/zero-offset-in-the-middle|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
resvg|tests/painting/marker/empty|System.NullReferenceException|SVG.NET dereferences an absent marker payload
resvg|tests/structure/image/recursive-2|SvgFixtureIsolationException|Recursive SVG.NET image reference exceeds the isolated-worker limit
resvg|tests/structure/svg/not-UTF-8-encoding|System.Xml.XmlException|SVG.NET cannot decode the deliberately Windows-1251 document in this runner
resvg|tests/structure/svg/zero-size|System.InvalidOperationException|SVG.NET returns an empty bitmap for a zero-size document
resvg|tests/text/baseline-shift/invalid-value|System.FormatException|SVG.NET fails to parse the deliberately invalid baseline-shift value
resvg|tests/text/font-size/negative-size|System.ArgumentException|SVG.NET submits a negative font size rejected by System.Drawing
resvg|tests/text/textPath/invalid-link|SvgFixtureIsolationException|Invalid SVG.NET textPath reference terminates the isolated worker
resvg|tests/text/textPath/invalid-textPath-in-the-middle|System.NullReferenceException|SVG.NET dereferences an absent or invalid textPath
resvg|tests/text/textPath/link-to-rect|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/m-L-Z-path|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/no-link|System.NullReferenceException|SVG.NET dereferences an absent or invalid textPath
resvg|tests/text/textPath/path-with-ClosePath|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/path-with-subpaths-and-startOffset|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/path-with-subpaths|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/with-baseline-shift-and-rotate|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/with-baseline-shift|System.NotSupportedException|SVG.NET does not implement this textPath geometry
resvg|tests/text/textPath/with-invalid-path-and-xlink-href|System.ArgumentOutOfRangeException|SVG.NET textPath parser fails before drawing
resvg|tests/text/textPath/with-path-and-xlink-href|System.ArgumentOutOfRangeException|SVG.NET textPath parser fails before drawing
resvg|tests/text/textPath/with-path|System.NullReferenceException|SVG.NET dereferences an absent or invalid textPath
w3c|fonts-glyph-02-t|System.ArgumentException|SVG.NET duplicate embedded-font glyph dictionary key
w3c|fonts-glyph-03-t|System.ArgumentException|SVG.NET duplicate embedded-font glyph dictionary key
w3c|fonts-glyph-04-t|System.InvalidOperationException|SVG.NET empty embedded-font glyph selection
w3c|pservers-grad-16-b|System.ArgumentException|SVG.NET submits unordered ColorBlend positions rejected by GDI+
w3c|struct-frag-01-t|System.InvalidOperationException|SVG.NET returns an empty bitmap
w3c|struct-image-12-b|SvgFixtureIsolationException|Recursive SVG.NET external-image reference
w3c|struct-use-08-b|SvgFixtureIsolationException|Recursive SVG.NET use terminates the isolated worker
w3c|styling-css-05-b|System.ArgumentException|SVG.NET duplicate embedded-font glyph dictionary key
w3c|text-fonts-203-t|System.ArgumentException|SVG.NET duplicate embedded-font glyph dictionary key
